;;Catálogo de indicadores económicos disponibles a consultar;
Código;Código padre;Nombre;Descripción;Indicador;Periodicidad
46876;46870;                         Grupo GF0306 (Seguridad y orden público n.e.c);Grupo GF0306 (Seguridad y orden público n.e.c);E06.10.20.01.03.06.00.00.00.A.CRC                                     ;Anual
46877;44041;                    División GF04 (Asuntos económicos);División GF04 (Asuntos económicos);E06.10.20.01.04.00.00.00.00.A.CRC                                     ;Anual
46878;46877;                         Grupo GF0401 (Econ general, asunt com y lab);Grupo GF0401 (Econ general, asunt com y lab);E06.10.20.01.04.01.00.00.00.A.CRC                                     ;Anual
46879;46877;                         Grupo GF0402 (Agricult, silvicult, pesca y caza);Grupo GF0402 (Agricult, silvicult, pesca y caza);E06.10.20.01.04.02.00.00.00.A.CRC                                     ;Anual
46880;46877;                         Grupo GF0403 (Combustible y energía);Grupo GF0403 (Combustible y energía);E06.10.20.01.04.03.00.00.00.A.CRC                                     ;Anual
46881;46877;                         Grupo GF0404 (Minería, manufactura y const);Grupo GF0404 (Minería, manufactura y const);E06.10.20.01.04.04.00.00.00.A.CRC                                     ;Anual
46882;46877;                         Grupo GF0405 (Transporte);Grupo GF0405 (Transporte);E06.10.20.01.04.05.00.00.00.A.CRC                                     ;Anual
46883;46877;                         Grupo GF0406 (Comunicación);Grupo GF0406 (Comunicación);E06.10.20.01.04.06.00.00.00.A.CRC                                     ;Anual
46884;46877;                         Grupo GF0407 (Otras industrias);Grupo GF0407 (Otras industrias);E06.10.20.01.04.07.00.00.00.A.CRC                                     ;Anual
46885;46877;                         Grupo GF0408 (Asuntos económicos R&D);Grupo GF0408 (Asuntos económicos R&D);E06.10.20.01.04.08.00.00.00.A.CRC                                     ;Anual
46886;46877;                         Grupo GF0409 (Asuntos económicos n.e.c);Grupo GF0409 (Asuntos económicos n.e.c);E06.10.20.01.04.09.00.00.00.A.CRC                                     ;Anual
46887;44041;                    División GF05 (Protección Ambiental);División GF05 (Protección Ambiental);E06.10.20.01.05.00.00.00.00.A.CRC                                     ;Anual
46888;46887;                         Grupo GF0501 (Manejo de residuos);Grupo GF0501 (Manejo de residuos);E06.10.20.01.05.01.00.00.00.A.CRC                                     ;Anual
46889;46887;                         Grupo GF0502 (Gestión de aguas residuales);Grupo GF0502 (Gestión de aguas residuales);E06.10.20.01.05.02.00.00.00.A.CRC                                     ;Anual
46890;46887;                         Grupo GF0503 (Reducción de contaminación);Grupo GF0503 (Reducción de contaminación);E06.10.20.01.05.03.00.00.00.A.CRC                                     ;Anual
46891;46887;                         Grupo GF0504 (Protecc por la biodiv y paisaje );Grupo GF0504 (Protecc por la biodiv y paisaje );E06.10.20.01.05.04.00.00.00.A.CRC                                     ;Anual
46892;46887;                         Grupo GF0505 (R&D Protection Ambiental);Grupo GF0505 (R&D Protection Ambiental);E06.10.20.01.05.05.00.00.00.A.CRC                                     ;Anual
46893;46887;                         Grupo GF0506 (Protección ambiental n.e.c);Grupo GF0506 (Protección ambiental n.e.c);E06.10.20.01.05.06.00.00.00.A.CRC                                     ;Anual
46894;44041;                    División GF06 (Vivienda y serv a comunidd);División GF06 (Vivienda y serv a comunidd);E06.10.20.01.06.00.00.00.00.A.CRC                                     ;Anual
46895;46894;                         Grupo GF0601 (Urbanización );Grupo GF0601 (Urbanización );E06.10.20.01.06.01.00.00.00.A.CRC                                     ;Anual
46896;46894;                         Grupo GF0602 (Desarrollo comunitario);Grupo GF0602 (Desarrollo comunitario);E06.10.20.01.06.02.00.00.00.A.CRC                                     ;Anual
46897;46894;                         Grupo GF0603 (Suministro de agua);Grupo GF0603 (Suministro de agua);E06.10.20.01.06.03.00.00.00.A.CRC                                     ;Anual
46898;46894;                         Grupo GF0604 (Alumbrado público);Grupo GF0604 (Alumbrado público);E06.10.20.01.06.04.00.00.00.A.CRC                                     ;Anual
46899;46894;                         Grupo GF0605 (R&D Viviendas y servicios a com);Grupo GF0605 (R&D Viviendas y servicios a com);E06.10.20.01.06.05.00.00.00.A.CRC                                     ;Anual
46900;46894;                         Grupo GF0606 (Protección ambiental n.e.c);Grupo GF0606 (Protección ambiental n.e.c);E06.10.20.01.06.06.00.00.00.A.CRC                                     ;Anual
46901;44041;                    División GF07 (Salud);División GF07 (Salud);E06.10.20.01.07.00.00.00.00.A.CRC                                     ;Anual
46902;46901;                         Grupo GF0701 (Productos medicos, equip y acc);Grupo GF0701 (Productos medicos, equip y acc);E06.10.20.01.07.01.00.00.00.A.CRC                                     ;Anual
46903;46901;                         Grupo GF0702 (Servicios Ambulatorios);Grupo GF0702 (Servicios Ambulatorios);E06.10.20.01.07.02.00.00.00.A.CRC                                     ;Anual
46904;46901;                         Grupo GF0703 (Servicios Hospitalarios);Grupo GF0703 (Servicios Hospitalarios);E06.10.20.01.07.03.00.00.00.A.CRC                                     ;Anual
46905;46901;                         Grupo GF0704 (Servicios de Salud Publica);Grupo GF0704 (Servicios de Salud Publica);E06.10.20.01.07.04.00.00.00.A.CRC                                     ;Anual
46906;46901;                         Grupo GF0705 (Salud R&D);Grupo GF0705 (Salud R&D);E06.10.20.01.07.05.00.00.00.A.CRC                                     ;Anual
46907;46901;                         Grupo GF0706 (Salud n.e.c);Grupo GF0706 (Salud n.e.c);E06.10.20.01.07.06.00.00.00.A.CRC                                     ;Anual
46908;44041;                    División GF08 (Recreación, cultura y religión);División GF08 (Recreación, cultura y religión);E06.10.20.01.08.00.00.00.00.A.CRC                                     ;Anual
46909;46908;                         Grupo GF0801 (Serv de deporte y recreación);Grupo GF0801 (Serv de deporte y recreación);E06.10.20.01.08.01.00.00.00.A.CRC                                     ;Anual
46910;46908;                         Grupo GF0802 (Servicios culturales);Grupo GF0802 (Servicios culturales);E06.10.20.01.08.02.00.00.00.A.CRC                                     ;Anual
46911;46908;                         Grupo GF0803 (Serv de radiodifusión y publicn);Grupo GF0803 (Serv de radiodifusión y publicn);E06.10.20.01.08.03.00.00.00.A.CRC                                     ;Anual
46912;46908;                         Grupo GF0804 (Serv de comunidades religiosas);Grupo GF0804 (Serv de comunidades religiosas);E06.10.20.01.08.04.00.00.00.A.CRC                                     ;Anual
46913;46908;                         Grupo GF0805 (Recreación, cult y relig R&D);Grupo GF0805 (Recreación, cult y relig R&D);E06.10.20.01.08.05.00.00.00.A.CRC                                     ;Anual
